"Facility Name","Location Type","Operator","Status","Open","Hours of Operation","Accessibility","Restroom Type","Changing Stations","Additional Notes","Website","Latitude","Longitude","Location"
"Battery Park Zone 1","Park","NYC Parks","Not Operational",,,,,"Yes",,,"40.70441","-74.0159","POINT (-74.0159 40.70441)"
"Carl Schurz Main Lawn","Park","NYC Parks","Not Operational",,,"Partially Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.77358","-73.945","POINT (-73.945 40.77358)"
"Tappen Park","Park","NYC Parks","Not Operational",,,,,"""N/A, restrooms closed""",,,"40.62661","-74.0778","POINT (-74.0778 40.62661)"
"Refinery Building","Park","Domino Park","Operational","Year Round","6am-11pm",,,,,,"40.714424","-73.967306","POINT (-73.967306 40.714424)"
"Gravesend Library, BPL","Library","BPL","Closed for Construction","Year Round",,"Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/gravesend","40.590553","-73.97181","POINT (-73.97181 40.590553)"
"Aguilar Library, NYPL","Library","NYPL","Closed for Construction","Future",,,,,,"https://www.nypl.org/locations/aguilar","40.794223","-73.94346","POINT (-73.94346 40.794223)"
"Maspeth Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,"Yes",,,"40.7309","-73.9254","POINT (-73.9254 40.7309)"
"Crotona Malls Zone 1","Park","NYC Parks","Not Operational",,,"Fully Accessible","Multi-Stall W/M Restrooms","""N/A, restrooms closed""",,,"40.84284","-73.8855","POINT (-73.8855 40.84284)"
"Fort Hamilton Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/fort-hamilton","40.616381","-74.031371","POINT (-74.031371 40.616381)"
"Rienzi Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.88764","-73.8588","POINT (-73.8588 40.88764)"
"Lopez Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms",,,,"40.61127","-74.085","POINT (-74.085 40.61127)"
"Andrew Heiskell Braille and Talking Book Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 5:00 pm 
Tuesday: 12:00 pm - 7:00 pm
Wednesday: 10:00 am - 5:00 pm
Thursday: 12:00 pm - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","No","Changing Table in Children's room","https://www.nypl.org/locations/heiskell","40.740474","-73.993358","POINT (-73.993358 40.740474)"
"Old Town Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.59549","-74.0815","POINT (-74.0815 40.59549)"
"575 Fifth Avenue POPS","Privately Owned Public Space","575 Fifth Associates","Operational","Year Round","Everyday 7:00 am-12:00 am","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.756276","-73.978243","POINT (-73.978243 40.756276)"
"Fort Greene Park Zone 3","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,"Yes",,,"40.69223","-73.9747","POINT (-73.9747 40.69223)"
"Starlight Park Zone 1","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,,,,"40.833733","-73.882888","POINT (-73.882888 40.833733)"
"Clove Lakes Rink","Park","NYC Parks Concessionaire","Operational","Seasonal","Friday 4:00-10:00pm, Saturday 12:00pm-10:00pm, Sunday 12:00pm-6:00pm","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.615832","-74.1079","POINT (-74.1079 40.615832)"
"Mosholu Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.87266","-73.8829","POINT (-73.8829 40.87266)"
"General Hart Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.74879","-73.8972","POINT (-73.8972 40.74879)"
"Gertrude Ederle Recreation Center","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,"Yes",,,"40.77147","-73.9887","POINT (-73.9887 40.77147)"
"Great Kills Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm  
Wednesday: 11:00 am - 6:00 pm  
Thursday: 11:00 am - 6:00 pm  
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 4:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.nypl.org/locations/great-kills","40.552432","-74.151113","POINT (-74.151113 40.552432)"
"Sunset Park Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Partially Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/sunset-park","40.64592","-74.013631","POINT (-74.013631 40.64592)"
"De Witt Clinton Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.76821","-73.9946","POINT (-73.9946 40.76821)"
"Arrochar Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.59784","-74.0712","POINT (-74.0712 40.59784)"
"55 East 52nd Street POPS","Privately Owned Public Space","Park Avenue Plaza Owner LLC","Operational","Year Round","Everyday 8:00 am-10:00 pm","Partially Accessible","Single-Stall All Gender Restroom(s)","No",,,"40.759132","-73.973672","POINT (-73.973672 40.759132)"
"Potomac Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.68205","-73.9442","POINT (-73.9442 40.68205)"
"Cypress Hills Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/cypress-hills","40.672716","-73.874036","POINT (-73.874036 40.672716)"
"Big Bush Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.74025","-73.9027","POINT (-73.9027 40.74025)"
"Maspeth Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Single-Stall All Gender Restroom(s)","Yes",,"https://www.queenslibrary.org/about-us/locations/maspeth","40.727004","-73.893106","POINT (-73.893106 40.727004)"
"Nautilus Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.57172","-73.9959","POINT (-73.9959 40.57172)"
"Tilden Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.6479","-73.9314","POINT (-73.9314 40.6479)"
"Poppenhusen Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Multi-Stall W/M Restrooms","""Yes, in women's restroom only""","Yes, a key is needed to enter","https://www.queenslibrary.org/about-us/locations/poppenhusen","40.786221","-73.846019","POINT (-73.846019 40.786221)"
"Aqueduct Walk Zone 2","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.85841","-73.908","POINT (-73.908 40.85841)"
"Lemon Creek Park Marina","Park","NYC Parks Concessionaire","Operational","Year Round","9:00am-5:00pm","Not Accessible","Both Single-Stall All Gender and Multi-Stall W/M","No",,,"40.515281","-74.20115","POINT (-74.20115 40.515281)"
"Electric Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","No",,,"40.73577","-73.8054","POINT (-73.8054 40.73577)"
"Quisqueya Playground","Park","NYC Parks","Not Operational",,,"Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.84723","-73.9312","POINT (-73.9312 40.84723)"
"Allerton Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.86567","-73.8505","POINT (-73.8505 40.86567)"
"Gorman Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.76194","-73.8842","POINT (-73.8842 40.76194)"
"River Run Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.78733","-73.9821","POINT (-73.9821 40.78733)"
"Poor Richard's Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.79299","-73.9431","POINT (-73.9431 40.79299)"
"Playground For All Children","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.84847","-73.8253","POINT (-73.8253 40.84847)"
"Far Rockaway Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","""Yes, in women's restroom only""",,"https://www.queenslibrary.org/about-us/locations/far-rockaway","40.604322","-73.752481","POINT (-73.752481 40.604322)"
"Sunset Park Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.64768","-74.005","POINT (-74.005 40.64768)"
"Hoover - Manton Playgrounds","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.71052","-73.8201","POINT (-73.8201 40.71052)"
"Joseph Austin Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Partially Accessible","Multi-Stall W/M Restrooms","No",,,"40.71569","-73.8012","POINT (-73.8012 40.71569)"
"Prospect Park Indoor Tennis","Park","NYC Parks Concessionaire","Operational","Year Round","7:00am-11:00pm","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,,"40.651267","-73.970257","POINT (-73.970257 40.651267)"
"Broadway Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed
Monday: 10:00 am - 6:00 pm
Tuesday: 1:00 pm - 6:00 pm
Wednesday: 10:00 am - 6:00 pm
Thursday: 12:00 pm - 8:00 pm
Friday: 10:00 am - 6:00 pm
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","""Yes, in women's restroom only""","Restrooms for adult are in the basement.
Restrooms for children are located on the 2nd floor in the Children's room and require keys.","https://www.queenslibrary.org/about-us/locations/broadway","40.758538","-73.918625","POINT (-73.918625 40.758538)"
"Saw Mill Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.80892","-73.9193","POINT (-73.9193 40.80892)"
"Kissena Park Zone 2 (Tennis Courts)","Park","NYC Parks","Not Operational",,,"Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.74727","-73.8086","POINT (-73.8086 40.74727)"
"Nellie Bly Amusement Park","Park","NYC Parks Concessionaire","Operational","Seasonal","Weekdays - 12pm-Dusk Weekends 11am-Dusk","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.590614","-73.994912","POINT (-73.994912 40.590614)"
"Pena Herrera Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","No",,,"40.64939","-74.0121","POINT (-74.0121 40.64939)"
"Ten Eyck Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.70903","-73.9389","POINT (-73.9389 40.70903)"
"Countee Cullen Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 11:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes","Please note that the ADA lift is out of order at Countee Cullen Library. We apologize for any inconvenience.","https://www.nypl.org/locations/countee-cullen","40.814844","-73.941162","POINT (-73.941162 40.814844)"
"Van Cortlandt Classic Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.8852","-73.8906","POINT (-73.8906 40.8852)"
"Douglaston Golf Course","Park","NYC Parks Concessionaire","Operational","Year Round","6:00am-8:00pm Daily","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.752189","-73.732671","POINT (-73.732671 40.752189)"
"Rosewood Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.87298","-73.8711","POINT (-73.8711 40.87298)"
"Mosholu Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","""Yes, in single-stall all gender restroom only""",,"https://www.nypl.org/locations/mosholu","40.874388","-73.878386","POINT (-73.878386 40.874388)"
"Poppenhusen Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","No",,,"40.78142","-73.8445","POINT (-73.8445 40.78142)"
"Barretto Point Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.80591","-73.8886","POINT (-73.8886 40.80591)"
"Brevoort Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Partially Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.68068","-73.9227","POINT (-73.9227 40.68068)"
"Twenty-Four Sycamores Park","Park","NYC Parks","Not Operational",,,"Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.75942","-73.9589","POINT (-73.9589 40.75942)"
"Riverdale Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","No",,"https://www.nypl.org/locations/riverdale","40.903731","-73.902774","POINT (-73.902774 40.903731)"
"Baisley Park South Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.66913","-73.7887","POINT (-73.7887 40.66913)"
"John Hancock Playground","Park","NYC Parks","Not Operational",,,,,,,,"40.682231","-73.955236","POINT (-73.955236 40.682231)"
"Beach 30th Street Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.59244","-73.7627","POINT (-73.7627 40.59244)"
"Kennedy King Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.6587","-73.9218","POINT (-73.9218 40.6587)"
"Sheltering Arms Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.81534","-73.956","POINT (-73.956 40.81534)"
"Coney Island Beach Zone 2a","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.57493","-73.9598","POINT (-73.9598 40.57493)"
"North Rochdale Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.68007","-73.7751","POINT (-73.7751 40.68007)"
"Al Quiñones Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.81545","-73.9014","POINT (-73.9014 40.81545)"
"Westchester Square Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Not Accessible","Both Single-Stall All Gender and Multi-Stall W/M","""Yes, in single-stall all gender restroom only""",,"https://www.nypl.org/locations/westchester-square","40.840876","-73.846732","POINT (-73.846732 40.840876)"
"Claremont Zone 1","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in men's restroom only""",,,"40.84151","-73.9068","POINT (-73.9068 40.84151)"
"Mathews-Palmer Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.76122","-73.9929","POINT (-73.9929 40.76122)"
"East River Park Zone 6","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.72386","-73.9728","POINT (-73.9728 40.72386)"
"Hunts Point Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.81428","-73.8859","POINT (-73.8859 40.81428)"
"Evergreen Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in men's restroom only""",,,"40.69705","-73.8964","POINT (-73.8964 40.69705)"
"Russell Sage Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.72396","-73.8516","POINT (-73.8516 40.72396)"
"Van Voorhees Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.68966","-73.9996","POINT (-73.9996 40.68966)"
"Springfield Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","No",,,"40.66083","-73.7623","POINT (-73.7623 40.66083)"
"Corona Plaza APT","Public Plaza","NYC DOT/JCDeceaux","Operational","Year Round","8am-8pm","Fully Accessible","Single-Stall All Gender Restroom(s)","No","This unit is free to use.","https://portal.311.nyc.gov/article/?kanumber=KA-02226","40.74965","-73.862638","POINT (-73.862638 40.74965)"
"Newtown Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","No",,,"40.73625","-73.8698","POINT (-73.8698 40.73625)"
"Starvos Niarchos Foundation Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 8:00 am - 9:00 pm 
Tuesday: 8:00 am - 9:00 pm 
Wednesday: 8:00 am - 9:00 pm 
Thursday: 8:00 am - 9:00 pm  
Friday: 8:00 am - 9:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","""Yes, in single-stall all gender restroom only""",,"https://www.nypl.org/locations/snfl","40.7519","-73.9817","POINT (-73.9817 40.7519)"
"Tompkins Square Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms",,,,"40.72683","-73.9814","POINT (-73.9814 40.72683)"
"Mosholu Golf Course","Park","NYC Parks Concessionaire","Operational","Year Round","7:00am-8:00pm Daily","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.887057","-73.884205","POINT (-73.884205 40.887057)"
"Highlawn Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/highlawn","40.605701","-73.986248","POINT (-73.986248 40.605701)"
"North Hills Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Single-Stall All Gender Restroom(s)","Yes","Yes, a key is needed to enter","https://www.queenslibrary.org/about-us/locations/north-hills","40.759262","-73.731839","POINT (-73.731839 40.759262)"
"Wallenberg Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.85282","-73.9272","POINT (-73.9272 40.85282)"
"Delphin H. Greene Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","No",,,"40.68465","-73.7287","POINT (-73.7287 40.68465)"
"McKinley Park Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.62657","-74.0167","POINT (-74.0167 40.62657)"
"Kelly Park Playground","Park","NYC Parks","Not Operational",,,"Not Accessible","Multi-Stall W/M Restrooms","No",,,"40.60368","-73.9576","POINT (-73.9576 40.60368)"
"Paerdegat Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,"https://www.bklynlibrary.org/locations/paerdegat","40.632645","-73.919986","POINT (-73.919986 40.632645)"
"St. Vartan Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Partially Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.74496","-73.9733","POINT (-73.9733 40.74496)"
"Inwood Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","""Yes, in single-stall all gender restroom only""",,"https://www.nypl.org/locations/inwood","40.866961","-73.924338","POINT (-73.924338 40.866961)"
"Crispus Attucks Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.68162","-73.9592","POINT (-73.9592 40.68162)"
"Frederick Douglass Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.79701","-73.9677","POINT (-73.9677 40.79701)"
"Eastern Parkway Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/eastern-parkway","40.668495","-73.933652","POINT (-73.933652 40.668495)"
"Colonel David Marcus Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.61004","-73.9696","POINT (-73.9696 40.61004)"
"Hunts Point Library, NYPL","Library","NYPL","Operational","Year Round","Sunday	CLOSED
Monday	10:00 am - 6:00 pm 
Tuesday	10:00 am - 6:00 pm 
Wednesday	10:00 am - 6:00 pm 
Thursday	10:00 am - 6:00 pm 
Friday	10:00 am - 6:00 pm 
Saturday	10:00 am - 5:00 pm","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,"https://www.nypl.org/locations/hunts-point","40.818678","-73.894134","POINT (-73.894134 40.818678)"
"Woodlawn Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.89993","-73.8723","POINT (-73.8723 40.89993)"
"Clearview Cafe","Park","NYC Parks Concessionaire","Operational","Year Round","5:00pm-9:00pm","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.786638","-73.792331","POINT (-73.792331 40.786638)"
"Central Park Chess & Checkers House","Park","Central Park Conservancy","Operational","Year Round","7:30am - dusk","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M",,,,"40.769114","-73.974619","POINT (-73.974619 40.769114)"
"Stapleton Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.nypl.org/locations/stapleton","40.626265","-74.077865","POINT (-74.077865 40.626265)"
"Renaissance Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,,"40.82168","-73.9417","POINT (-73.9417 40.82168)"
"Macombs Dam Park Zone 1 Upper","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.82838","-73.9298","POINT (-73.9298 40.82838)"
